id,name,sku,current_price,list_price,discount_percentage,discount_label,product_url,image_url,specifications,all_specifications,images
hea663-headset-biontech-usb-black-nethp180w-28223,HEADSET BIONTECH USB BLACK (NETHP180W),HEA663,1911.6,1911.6,,,https://www.cecomsa.com/shop/hea663-headset-biontech-usb-black-nethp180w-28223?page=38,https://www.cecomsa.com/web/image/product.template/28223/image_256/%5BHEA663%5D%20HEADSET%20BIONTECH%20USB%20BLACK%20%28NETHP180W%29?unique=530f36d,"{'Marca': 'BIONTECH', 'Color': 'BLACK', 'Soporte en CS': '1 MES', 'Soporte en Partes': '1 MES', 'Soporte en Proveedor': '1 MES', 'Número de Parte': 'NETHP180W'}","{'MARCA': 'BIONTECH', 'NÚMERO DE PARTE': 'NETHP180W', 'COLOR': 'BLACK', 'SOPORTE EN CS': '1 MES', 'SOPORTE EN PARTES': '1 MES', 'SOPORTE EN PROVEEDOR': '1 MES', 'CONEXIÓN': 'USB', 'TIPOS': 'OVER-EAR', 'MICRÓFONO': 'SI'}",['https://www.cecomsa.com/web/image/product.product/31851/image_1024/%5BHEA663%5D%20HEADSET%20BIONTECH%20USB%20BLACK%20%28NETHP180W%29?unique=530f36d']
hea679-headset-biontech-stereo-audio-3-5mm-black-net-hs15135-28222,HEADSET BIONTECH STEREO AUDIO 3.5MM BLACK (NET-HS15135),HEA679,778.8,778.8,,,https://www.cecomsa.com/shop/hea679-headset-biontech-stereo-audio-3-5mm-black-net-hs15135-28222?page=39,https://www.cecomsa.com/web/image/product.template/28222/image_256/%5BHEA679%5D%20HEADSET%20BIONTECH%20STEREO%20AUDIO%203.5MM%20BLACK%20%28NET-HS15135%29?unique=530f36d,"{'Marca': 'BIONTECH', 'Color': 'BLACK', 'Soporte en CS': '1 MES', 'Soporte en Partes': '1 MES', 'Soporte en Proveedor': '1 MES', 'Número de Parte': 'NET-HS15135'}","{'MARCA': 'BIONTECH', 'NÚMERO DE PARTE': 'NET-HS15135', 'MODELO': 'STEREO', 'COLOR': 'BLACK', 'SOPORTE EN CS': '1 MES', 'SOPORTE EN PARTES': '1 MES', 'SOPORTE EN PROVEEDOR': '1 MES', 'CONEXIÓN': 'AUDIO 3.5 MM', 'TIPOS': 'OVER-EAR', 'MICRÓFONO': 'SI'}",['https://www.cecomsa.com/web/image/product.product/31850/image_1024/%5BHEA679%5D%20HEADSET%20BIONTECH%20STEREO%20AUDIO%203.5MM%20BLACK%20%28NET-HS15135%29?unique=530f36d']
hea513-headset-argom-metro-78-stereo-usb-black-arg-hs-0078-28217,HEADSET ARGOM METRO-78 STEREO USB BLACK (ARG-HS-0078),HEA513,778.8,778.8,,,https://www.cecomsa.com/shop/hea513-headset-argom-metro-78-stereo-usb-black-arg-hs-0078-28217?page=39,https://www.cecomsa.com/web/image/product.template/28217/image_256/%5BHEA513%5D%20HEADSET%20ARGOM%20METRO-78%20STEREO%20USB%20BLACK%20%28ARG-HS-0078%29?unique=530f36d,"{'Marca': 'ARGOM', 'Color': 'BLACK', 'Soporte en CS': '6 MESES', 'Soporte en Partes': '6 MESES', 'Soporte en Proveedor': '6 MESES', 'Número de Parte': 'ARG-HS-0078'}","{'MARCA': 'ARGOM', 'NÚMERO DE PARTE': 'ARG-HS-0078', 'MODELO': 'METRO-78', 'COLOR': 'BLACK', 'SOPORTE EN CS': '6 MESES', 'SOPORTE EN PARTES': '6 MESES', 'SOPORTE EN PROVEEDOR': '6 MESES', 'CONEXIÓN': 'USB', 'TIPOS': 'OVER-EAR', 'MICRÓFONO': 'SI'}",['https://www.cecomsa.com/web/image/product.product/31845/image_1024/%5BHEA513%5D%20HEADSET%20ARGOM%20METRO-78%20STEREO%20USB%20BLACK%20%28ARG-HS-0078%29?unique=530f36d']
hea542-headset-gaming-xtech-ixion-wired-audio-3-5mm-black-red-xth-541-28211,HEADSET GAMING XTECH  IXION WIRED AUDIO 3.5MM BLACK-RED (XTH-541),HEA542,1109.2,1109.2,,,https://www.cecomsa.com/shop/hea542-headset-gaming-xtech-ixion-wired-audio-3-5mm-black-red-xth-541-28211?page=39,https://www.cecomsa.com/web/image/product.template/28211/image_256/%5BHEA542%5D%20HEADSET%20GAMING%20XTECH%20%20IXION%20WIRED%20AUDIO%203.5MM%20BLACK-RED%20%28XTH-541%29?unique=530f36d,"{'Marca': 'XTECH', 'Color': 'RED', 'Soporte en CS': '1 AÑO', 'Soporte en Partes': '1 AÑO', 'Soporte en Proveedor': '1 AÑO', 'Número de Parte': 'XTH-541'}","{'MARCA': 'XTECH', 'NÚMERO DE PARTE': 'XTH-541', 'MODELO': 'IXION', 'COLOR': 'RED', 'SOPORTE EN CS': '1 AÑO', 'SOPORTE EN PARTES': '1 AÑO', 'SOPORTE EN PROVEEDOR': '1 AÑO', 'CONEXIÓN': 'AUDIO 3.5 MM', 'MICRÓFONO': 'SI'}",['https://www.cecomsa.com/web/image/product.product/31839/image_1024/%5BHEA542%5D%20HEADSET%20GAMING%20XTECH%20%20IXION%20WIRED%20AUDIO%203.5MM%20BLACK-RED%20%28XTH-541%29?unique=530f36d']
hea955-headset-gaming-xtech-molten-monoauricular-audio-3-5mm-black-red-xth-520rd-28209,HEADSET GAMING XTECH MOLTEN MONOAURICULAR AUDIO 3.5MM BLACK-RED (XTH-520RD),HEA955,896.8,896.8,,,https://www.cecomsa.com/shop/hea955-headset-gaming-xtech-molten-monoauricular-audio-3-5mm-black-red-xth-520rd-28209?page=39,https://www.cecomsa.com/web/image/product.template/28209/image_256/%5BHEA955%5D%20HEADSET%20GAMING%20XTECH%20MOLTEN%20MONOAURICULAR%20AUDIO%203.5MM%20BLACK-RED%20%28XTH-520RD%29?unique=530f36d,"{'Marca': 'XTECH', 'Color': 'BLACK', 'Soporte en CS': '1 AÑO', 'Soporte en Partes': '1 AÑO', 'Soporte en Proveedor': '1 AÑO', 'Número de Parte': 'XTH-520RD'}","{'MARCA': 'XTECH', 'NÚMERO DE PARTE': 'XTH-520RD', 'MODELO': 'MOLTEN', 'COLOR': 'BLACK', 'SOPORTE EN CS': '1 AÑO', 'SOPORTE EN PARTES': '1 AÑO', 'SOPORTE EN PROVEEDOR': '1 AÑO', 'CONEXIÓN': 'AUDIO 3.5 MM', 'TIPOS': 'OVER-EAR', 'MICRÓFONO': 'SI'}",['https://www.cecomsa.com/web/image/product.product/31837/image_1024/%5BHEA955%5D%20HEADSET%20GAMING%20XTECH%20MOLTEN%20MONOAURICULAR%20AUDIO%203.5MM%20BLACK-RED%20%28XTH-520RD%29?unique=530f36d']
hea954-headset-gaming-xtech-molten-monoauricular-audio-3-5mm-black-xth-520bk-28208,HEADSET GAMING XTECH MOLTEN MONOAURICULAR AUDIO 3.5MM BLACK (XTH-520BK),HEA954,896.8,896.8,,,https://www.cecomsa.com/shop/hea954-headset-gaming-xtech-molten-monoauricular-audio-3-5mm-black-xth-520bk-28208?page=39,https://www.cecomsa.com/web/image/product.template/28208/image_256/%5BHEA954%5D%20HEADSET%20GAMING%20XTECH%20MOLTEN%20MONOAURICULAR%20AUDIO%203.5MM%20BLACK%20%28XTH-520BK%29?unique=530f36d,"{'Marca': 'XTECH', 'Color': 'BLACK', 'Soporte en CS': '1 AÑO', 'Soporte en Partes': '1 AÑO', 'Soporte en Proveedor': '1 AÑO', 'Número de Parte': 'XTH-520BK'}","{'MARCA': 'XTECH', 'NÚMERO DE PARTE': 'XTH-520BK', 'MODELO': 'MOLTEN', 'COLOR': 'BLACK', 'SOPORTE EN CS': '1 AÑO', 'SOPORTE EN PARTES': '1 AÑO', 'SOPORTE EN PROVEEDOR': '1 AÑO', 'CONEXIÓN': 'AUDIO 3.5 MM', 'TIPOS': 'OVER-EAR', 'MICRÓFONO': 'SI'}",['https://www.cecomsa.com/web/image/product.product/31836/image_1024/%5BHEA954%5D%20HEADSET%20GAMING%20XTECH%20MOLTEN%20MONOAURICULAR%20AUDIO%203.5MM%20BLACK%20%28XTH-520BK%29?unique=530f36d']
hea678-headset-gaming-xtech-kalamos-1-80mm-usb-black-xth-531-28207,HEADSET GAMING XTECH KALAMOS 1.80MM USB BLACK (XTH-531),HEA678,991.2,991.2,,,https://www.cecomsa.com/shop/hea678-headset-gaming-xtech-kalamos-1-80mm-usb-black-xth-531-28207?page=39,https://www.cecomsa.com/web/image/product.template/28207/image_256/%5BHEA678%5D%20HEADSET%20GAMING%20XTECH%20KALAMOS%201.80MM%20USB%20BLACK%20%28XTH-531%29?unique=2f18645,"{'Marca': 'XTECH', 'Color': 'BLACK', 'Soporte en CS': '1 AÑO', 'Soporte en Partes': '1 AÑO', 'Soporte en Proveedor': '1 AÑO', 'Número de Parte': 'XTH-531'}","{'MARCA': 'XTECH', 'NÚMERO DE PARTE': 'XTH-531', 'MODELO': 'KALAMOS', 'COLOR': 'BLACK', 'SOPORTE EN CS': '1 AÑO', 'SOPORTE EN PARTES': '1 AÑO', 'SOPORTE EN PROVEEDOR': '1 AÑO', 'CONEXIÓN': 'USB', 'TIPOS': 'OVER-EAR', 'MICRÓFONO': 'SI'}",['https://www.cecomsa.com/web/image/product.product/31835/image_1024/%5BHEA678%5D%20HEADSET%20GAMING%20XTECH%20KALAMOS%201.80MM%20USB%20BLACK%20%28XTH-531%29?unique=2f18645']
hea296-headset-gaming-xtech-ominous-audio-3-5mm-black-red-xth-510-28205,HEADSET GAMING XTECH OMINOUS AUDIO 3.5MM BLACK-RED (XTH-510),HEA296,885.0,885.0,,,https://www.cecomsa.com/shop/hea296-headset-gaming-xtech-ominous-audio-3-5mm-black-red-xth-510-28205?page=39,https://www.cecomsa.com/web/image/product.template/28205/image_256/%5BHEA296%5D%20HEADSET%20GAMING%20XTECH%20OMINOUS%20AUDIO%203.5MM%20BLACK-RED%20%28XTH-510%29?unique=2f18645,"{'Marca': 'XTECH', 'Color': 'BLACK', 'Soporte en CS': '1 AÑO', 'Soporte en Partes': '1 AÑO', 'Soporte en Proveedor': '1 AÑO', 'Número de Parte': 'XTH-510'}","{'MARCA': 'XTECH', 'NÚMERO DE PARTE': 'XTH-510', 'MODELO': 'OMINOUS', 'COLOR': 'BLACK', 'SOPORTE EN CS': '1 AÑO', 'SOPORTE EN PARTES': '1 AÑO', 'SOPORTE EN PROVEEDOR': '1 AÑO', 'CONEXIÓN': 'AUDIO 3.5 MM', 'TIPOS': 'OVER-EAR', 'MICRÓFONO': 'SI'}",['https://www.cecomsa.com/web/image/product.product/31833/image_1024/%5BHEA296%5D%20HEADSET%20GAMING%20XTECH%20OMINOUS%20AUDIO%203.5MM%20BLACK-RED%20%28XTH-510%29?unique=2f18645']
hea853-headset-gaming-maxell-ca-ss-single-side-audio-3-5mm-black-red-348485-28203,HEADSET GAMING MAXELL CA-SS SINGLE SIDE AUDIO 3.5MM BLACK-RED (348485),HEA853,554.6,554.6,,,https://www.cecomsa.com/shop/hea853-headset-gaming-maxell-ca-ss-single-side-audio-3-5mm-black-red-348485-28203?page=39,https://www.cecomsa.com/web/image/product.template/28203/image_256/%5BHEA853%5D%20HEADSET%20GAMING%20MAXELL%20CA-SS%20SINGLE%20SIDE%20AUDIO%203.5MM%20BLACK-RED%20%28348485%29?unique=530f36d,"{'Marca': 'MAXELL', 'Color': 'BLACK', 'Soporte en CS': '6 MESES', 'Soporte en Partes': '6 MESES', 'Soporte en Proveedor': '6 MESES', 'Número de Parte': '348485'}","{'MARCA': 'MAXELL', 'NÚMERO DE PARTE': '348485', 'MODELO': 'CA-SS', 'COLOR': 'BLACK', 'SOPORTE EN CS': '6 MESES', 'SOPORTE EN PARTES': '6 MESES', 'SOPORTE EN PROVEEDOR': '6 MESES', 'CONEXIÓN': 'AUDIO 3.5 MM', 'TIPOS': 'OVER-EAR', 'MICRÓFONO': 'SI'}",['https://www.cecomsa.com/web/image/product.product/31831/image_1024/%5BHEA853%5D%20HEADSET%20GAMING%20MAXELL%20CA-SS%20SINGLE%20SIDE%20AUDIO%203.5MM%20BLACK-RED%20%28348485%29?unique=530f36d']
hea690-headset-gaming-maxell-ca-h-mic-1200-vibration-usb-black-red-347834-28202,HEADSET GAMING MAXELL CA-H-MIC-1200 VIBRATION USB BLACK-RED (347834),HEA690,2100.4,2100.4,,,https://www.cecomsa.com/shop/hea690-headset-gaming-maxell-ca-h-mic-1200-vibration-usb-black-red-347834-28202?page=39,https://www.cecomsa.com/web/image/product.template/28202/image_256/%5BHEA690%5D%20HEADSET%20GAMING%20MAXELL%20CA-H-MIC-1200%20VIBRATION%20USB%20BLACK-RED%20%28347834%29?unique=530f36d,"{'Marca': 'MAXELL', 'Color': 'BLACK', 'Soporte en CS': '6 MESES', 'Soporte en Partes': '6 MESES', 'Soporte en Proveedor': '6 MESES', 'Número de Parte': '347834'}","{'MARCA': 'MAXELL', 'NÚMERO DE PARTE': '347834', 'MODELO': 'CA-H-MIC-1200', 'COLOR': 'BLACK', 'SOPORTE EN CS': '6 MESES', 'SOPORTE EN PARTES': '6 MESES', 'SOPORTE EN PROVEEDOR': '6 MESES', 'CONEXIÓN': 'USB', 'TIPOS': 'OVER-EAR', 'MICRÓFONO': 'SI'}",['https://www.cecomsa.com/web/image/product.product/31830/image_1024/%5BHEA690%5D%20HEADSET%20GAMING%20MAXELL%20CA-H-MIC-1200%20VIBRATION%20USB%20BLACK-RED%20%28347834%29?unique=530f36d']
